,userid,y
629,5ad1f070b31aaa7021fc8ec5,0
630,5ad74a65ea83315078af0b80,0
631,5ad094c3897de54763921bb0,0
632,5ad9a7af72ad682de7ab4feb,0
633,5ad0432522defc47ea22b408,0
634,5ad6295265962201ed2a2f81,0
635,5ad70ce333694634ad417083,1
636,5ad859b7c3e6312f162f98e9,0
637,5ad5bb5a6473c702c852cc3d,0
638,5ad8b0d699833e5605345b95,0
639,5ad3749cb31aaa7021419047,0
640,5acf93e45f3ad56a0647153b,0
641,5ad7f23f40f5d33ec9084a57,0
642,5ad33c592e6b536f0fa96556,0
643,5ad9b22a19276a2cf4b9a607,0
